-9.4071,1.1444,-1.1762,-16.9210,-22.2110
-8.6892,-2.3481,0.51341,-13.5969,-20.1315
3.8576,1.7529,-4.6574,11.8948,-37.6071
-2.6993,1.9755,-2.4395,0.3633,-31.9064
-0.62019,-0.56432,2.6786,2.5963,-32.4457
23.577,7.2068,-0.65263,33.7071,-46.1875
2.1232,-4.4243,-2.9789,0.8152,-40.1748
19.546,-7.3561,-0.17264,18.7614,-48.2844
20.99,-7.1539,-0.28447,20.2758,-49.8485
6.0555,-3.5324,-1.1102,11.3284,-38.0102
-8.9568,1.5838,-1.0545,-15.0687,-21.3327
-9.6815,-1.0623,1.7861,-18.6072,-17.9317
-0.29573,1.9016,-3.9558,7.2900,-32.8473
-2.7378,2.2585,-2.8343,2.7852,-30.5463
-1.9098,-0.45273,2.7134,0.3161,-30.9036
23.885,8.2907,-0.25492,32.5116,-48.6721
1.5445,-3.9,-3.1056,4.5191,-37.3456
1.1202,-5.3261,-0.45143,2.5589,-34.1922
15.755,-5.413,0.07052,19.3956,-45.0326
2.4119,-1.1304,1.0322,4.1226,-36.6015
-10.438,1.9182,-1.7852,-11.9421,-13.1406
-8.6327,-0.83581,2.3877,-17.0412,-20.8324
-2.8523,2.545,-4.275,3.4509,-30.1338
-6.5298,2.3751,-1.6971,-3.6027,-24.3130
-5.122,0.25147,2.4823,-4.7593,-26.5511
16.364,7.9526,0.13532,23.9068,-46.6802
1.0151,-3.1096,-4.0552,6.1657,-35.5207
13.901,-7.0692,-1.9892,14.8227,-46.0221
10.564,-4.3668,0.78138,17.9615,-40.3955
-0.86455,-1.8612,1.0949,1.3823,-33.6482
-10.656,2.4838,-2.2493,-9.7303,-11.7349
-9.5768,-0.57085,1.7233,-18.0641,-19.2097
-3.2356,2.0901,-3.7233,3.2423,-30.0420
-7.3984,2.846,-1.8847,1.4235,-21.2058
-5.3649,1.1981,2.9641,-4.3774,-26.2047
15.119,8.2299,0.33759,24.7719,-44.5704
0.90957,-3.1968,-3.0325,1.5736,-37.7722
7.9941,-6.3712,-1.4405,6.2770,-43.7332
9.5721,-3.6625,1.0789,17.9903,-39.8202
-1.0429,-1.7148,1.7559,2.7354,-33.1010
-11.862,2.4086,-0.98577,-17.1459,-10.4438
-10.512,-0.23793,2.8018,-18.9693,-15.6748
-3.8521,2.0288,-3.6112,-0.7379,-30.5417
-4.0556,2.5986,-1.6525,4.7547,-27.9553
-6.9449,0.6736,1.2053,-6.8876,-23.7559
19.582,8.5276,1.2763,-28.3313,-45.1980
1.3348,-4.454,-2.1219,1.4579,-39.3480
12.422,-5.7507,-0.36557,10.7255,-47.5347
7.8789,-3.6774,0.84523,15.8530,-39.1943
-2.7184,-1.5532,0.59336,2.9303,-29.0558
-12.169,2.4368,-1.6248,-14.4091,-8.6640
-11.029,-0.50511,2.4785,-20.8816,-14.9481
-4.4828,1.4139,-2.8185,-0.6628,-29.8209
-4.8056,2.9381,-1.9206,4.2380,-26.3783
-6.6841,1.0144,1.5463,-6.6229,-24.5485
-12.135,0.94311,3.4224,23.9708,-11.6824
1.5567,-4.1205,-1.2062,3.0881,-38.7887
10.124,-4.4428,0.78223,16.0028,-42.1274
7.1528,-3.0891,1.1635,13.1835,-39.4901
-3.7096,-1.0602,1.054,2.2032,-27.4066
-12.626,2.0989,-0.70914,-19.1644,-8.8981
-11.54,-0.09656,3.3417,-21.3722,-12.7664
-5.4647,1.9192,-2.4813,-2.0471,-28.5770
-6.2954,2.7131,0.080456,-3.0250,-25.2659
-6.9253,0.8351,3.4207,-3.1635,-25.6014
18.342,9.509,1.8747,27.7570,-45.1321
-0.05115,-3.6087,-1.4365,2.3457,-36.1197
8.4932,-3.9956,0.42421,8.9021,-45.0470
5.7394,-2.0551,3.2147,17.6880,-39.2699
4.4069,-2.5664,0.32242,8.4834,-36.7224
-12.605,1.9264,-0.11921,-15.8963,-7.4062
-11.205,0.029189,3.5818,-19.9608,-13.4489
-5.8164,2.0384,-2.6286,-2.4099,-29.6892
-6.4216,2.6116,0.7348,0.0450,-23.6634
-6.8291,1.1948,3.9691,-1.5620,-25.9874
16.565,9.4262,2.0541,25.9279,-44.3587
1.024,-4.0734,-1.2163,3.8915,-35.7845
8.5167,-4.05,0.61584,10.9158,-43.6156
7.0966,-2.3667,4.0504,-27.0757,-27.7868
4.4995,-2.1736,0.68646,5.6835,-38.6120
